id1 id2 length score length2 e_value identities gaps strand
DRR010572.22 HUMWT9A01BKCR6 522 213 115 2e-57 177/207 4/207 Plus/Minus
DRR010572.20 HUMWT9A01BPCF1 524 213 115 2e-57 177/207 4/207 Plus/Minus
DRR010572.49 HUMWT9A01AZ6DL 529 211 114 5e-57 177/207 5/207 Plus/Minus
DRR010572.54 HUMWT9A01DAYDR 527 207 112 7e-56 176/207 4/207 Plus/Minus
DRR010572.36 HUMWT9A01AXSXL 530 207 112 7e-56 176/207 4/207 Plus/Minus
DRR010572.14 HUMWT9A01A901J 526 207 112 7e-56 176/207 4/207 Plus/Minus
DRR010572.38 HUMWT9A01BVS04 522 206 111 3e-55 176/207 6/207 Plus/Minus
DRR010572.59 HUMWT9A01BZOQP 548 202 109 3e-54 178/210 10/210 Plus/Minus
DRR010572.45 HUMWT9A01AHCOY 530 202 109 3e-54 176/208 5/208 Plus/Minus
DRR010572.40 HUMWT9A01BJQ4X 528 202 109 3e-54 176/208 5/208 Plus/Minus
DRR010572.31 HUMWT9A01B09SZ 528 202 109 3e-54 175/207 4/207 Plus/Minus
DRR010572.12 HUMWT9A01ALF3V 550 202 109 3e-54 177/209 8/209 Plus/Minus
DRR010572.11 HUMWT9A01DN8KL 529 202 109 3e-54 176/208 5/208 Plus/Minus
DRR010572.6 HUMWT9A01CUQ0X 524 202 109 3e-54 175/207 4/207 Plus/Minus
DRR010572.23 HUMWT9A01AGYKE 523 200 108 1e-53 175/207 5/207 Plus/Minus
DRR010572.8 HUMWT9A01BC24W 525 200 108 1e-53 175/207 5/207 Plus/Minus
DRR010572.10 HUMWT9A01DP39L 528 196 106 2e-52 175/208 5/208 Plus/Minus
DRR010572.4 HUMWT9A01A7GGN 548 196 106 2e-52 146/165 4/165 Plus/Minus
DRR010572.1 HUMWT9A01A74ZC 527 196 106 2e-52 175/208 6/208 Plus/Minus
DRR010572.73 HUMWT9A01AQYIA 524 195 105 6e-52 174/207 5/207 Plus/Minus
